,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,53.71,50,75,29.93,light intensity shower rain
1,Sayyan,YE,15.1718,44.3244,55.63,21,4,5.06,clear sky
2,Vardo,NO,70.3705,31.1107,30.18,80,100,25.32,overcast clouds
3,San Ignacio,BZ,17.1561,-89.0714,73.54,100,75,4.61,broken clouds
4,Busselton,AU,-33.65,115.3333,64.8,50,77,15.7,broken clouds
5,Port Elizabeth,ZA,-33.918,25.5701,63.32,80,20,13.8,light rain
6,Port Alfred,ZA,-33.5906,26.891,60.19,93,100,5.01,overcast clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,69.12,66,4,2.35,clear sky
8,Taoudenni,ML,22.6783,-3.9836,71.01,14,85,4.05,overcast clouds
9,Namibe,AO,-15.1961,12.1522,72.46,76,98,5.59,overcast clouds
10,Kibaya,TZ,-5.3,36.5667,59.52,86,100,3.38,light rain
11,Namwala,ZM,-15.7504,26.4384,73.45,41,0,6.17,clear sky
12,Ushuaia,AR,-54.8,-68.3,58.66,33,40,17.27,scattered clouds
13,Tessalit,ML,20.1986,1.0114,68.43,14,100,7.99,overcast clouds
14,Mogadouro,PT,41.3403,-6.7119,42.26,82,88,9.31,overcast clouds
15,Bokoro,TD,12.3807,17.0568,70.81,24,24,8.86,few clouds
16,Boca Do Acre,BR,-8.7522,-67.3978,72.55,98,99,2.55,overcast clouds
17,Menongue,AO,-14.6585,17.691,64.96,81,30,4.29,scattered clouds
18,Jamestown,US,42.097,-79.2353,24.19,63,20,13.8,few clouds
19,Malanje,AO,-9.5402,16.341,62.89,94,98,1.41,overcast clouds
20,Narsaq,GL,60.9167,-46.05,19.62,85,49,4.54,scattered clouds
21,Hermanus,ZA,-34.4187,19.2345,56.8,75,54,12.44,light rain
22,Santa Cruz De La Palma,ES,28.6835,-17.7642,69.94,64,100,13.8,overcast clouds
23,Qaanaaq,GL,77.484,-69.3632,-9.31,67,7,7.07,clear sky
24,Yar-Sale,RU,66.8333,70.8333,-1.82,88,100,21.09,overcast clouds
25,Keti Bandar,PK,24.1447,67.4497,81.01,53,2,4.61,clear sky
26,Sadiqabad,PK,28.3062,70.1307,78.91,21,71,4.63,broken clouds
27,Kumylzhenskaya,RU,49.8809,42.5898,30.97,79,92,4.23,overcast clouds
28,Hithadhoo,MV,-0.6,73.0833,81.39,74,62,10.98,broken clouds
29,Luderitz,NA,-26.6481,15.1594,64.78,53,97,19.8,overcast clouds
